,Link,Title,Price,Stan,Place
0,https://www.olx.pl//d/oferta/wyprzedaz-pilarka-husqvarna-120i-zestaw-z-akumulatorem-i-ladowarka-CID628-IDRZRSp.html,WYPRZEDAŻ Pilarka Husqvarna 120i ZESTAW z akumulatorem i ładowarką,1 399 zł,Nowe,Poczesna
1,https://www.olx.pl//d/oferta/pila-pilarka-motorowa-husqvarna-555-jak-nowa-z-norwegii-orginal-4-2km-CID628-IDx6Pli.html,"Piła pilarka Motorowa Husqvarna 555 Jak Nowa Z Norwegii Orginal 4,2km",1 800 zł,Używane,Nowy Sącz
2,https://www.olx.pl//d/oferta/pila-husqvarna-327p5-motorowa-lancuchowa-na-wysiegniku-niekompletna-CID628-IDPZaQN.html,Piła Husqvarna 327P5 Motorowa Łańcuchowa-NA WYSIĘGNIKU Niekompletna,500 zł,Uszkodzone,Nowy Sącz
3,https://www.olx.pl//d/oferta/pila-spalinowa-pilarka-husqvarna-45-3km-nowy-zestaw-tnacy-100-spra-CID628-IDTQfoE.html,Piła spalinowa pilarka Husqvarna 45 3KM/nowy zestaw tnący/100% spra,1 199 zł,Używane,Rybnik
4,https://www.olx.pl//d/oferta/husqvarna-562xpg-2019rok-CID628-IDTzaRS.html,Husqvarna 562xpg. 2019rok.,2 000 złdo negocjacji,Używane,Nowe Miasto Lubawskie
5,https://www.olx.pl//d/oferta/sprzedam-husqvarna-340-2-7km-prowadnica-40cm-od-wlasciciela-CID628-IDT20o5.html,Sprzedam Husqvarna 340 2.7KM prowadnica 40cm od właściciela.,780 złdo negocjacji,Używane,Wola Łagowska
6,https://www.olx.pl//d/oferta/husqvarna-340-pila-spalinowa-super-stan-nowy-lancuch-CID628-IDTS4cO.html,"Husqvarna 340, piła spalinowa super stan + nowy łańcuch",1 150 zł,Używane,Wejherowo
7,https://www.olx.pl//d/oferta/pila-spalinowa-pilarka-husqvarna-136-2-2km-100-sprawna-CID628-IDTQdIt.html,"Piła spalinowa pilarka Husqvarna 136 2,2KM 100% sprawna",849 zł,Używane,Rybnik
8,https://www.olx.pl//d/oferta/pilarka-spalinowa-husqvarna-545-CID628-IDRkBcs.html,Pilarka spalinowa Husqvarna 545,900 zł,Używane,Urszulin
9,https://www.olx.pl//d/oferta/pilarka-spalinowa-husqvarna-560-xp-CID628-IDSZ5T2.html,Pilarka Spalinowa Husqvarna 560 XP,4 000 zł,Nowe,Koszalin
10,https://www.olx.pl//d/oferta/pila-spalinowa-pilarka-husqvarna-359-moc-3-9-km-ply-pilarki-CID628-IDRK2eq.html,"Piła spalinowa pilarka Husqvarna 359 moc 3,9 KM Pły, Pilarki",1 500 zł,Używane,Milicz
11,https://www.olx.pl//d/oferta/husqvarna-345-pila-spalinowa-3km-stan-bdb-CID628-IDTKMZ0.html,HUSQVARNA 345 piła spalinowa 3KM stan BDB,1 300 zł,Używane,Nowa Sól
12,https://www.olx.pl//d/oferta/pila-pilarka-husqvarna-435-perfect-CID628-IDTEP5K.html,Piła pilarka Husqvarna 435 Perfect,1 500 zł,Używane,"Częstochowa, Śródmieście"
13,https://www.olx.pl//d/oferta/pila-pilarka-spalinowa-husqvarna-t540-CID628-IDO5IMD.html,Piła pilarka spalinowa Husqvarna T540,1 900 zł,Używane,"Częstochowa, Śródmieście"
14,https://www.olx.pl//d/oferta/husqvarna-135-mark-ii-pila-spalinowa-jak-nowa-CID628-IDTI8sP.html,HUSQVARNA 135 MARK II  piła spalinowa jak nowa!,1 370 zł,Używane,Nowa Sól
15,https://www.olx.pl//d/oferta/pila-pilarka-husqvarna-272xp-272-xp-CID628-IDRXae5.html,Piła pilarka Husqvarna 272xp 272 xp,2 100 zł,Używane,"Częstochowa, Śródmieście"
16,https://www.olx.pl//d/oferta/pilarka-husqvarna-135-mark-ii-raty-o-olej-gratis-CID628-IDRq80g.html,Pilarka Husqvarna 135 Mark II Raty O% OLEJ GRATIS,1 549 zł,Nowe,Łańcut
17,https://www.olx.pl//d/oferta/pila-pilarka-husqvarna-262-CID628-IDRXabU.html,Piła pilarka Husqvarna 262,2 000 zł,Używane,"Częstochowa, Śródmieście"
18,https://www.olx.pl//d/oferta/pilarka-husqvarna-130-raty-o-gratisy-CID628-IDRq61U.html,Pilarka Husqvarna 130 Raty O% GRATISY !,1 249 zł,Nowe,Łańcut
19,https://www.olx.pl//d/oferta/pilarka-spalinowa-husqvarna-543xp-gratisy-raty-0-CID628-IDSPnt5.html,Pilarka spalinowa  Husqvarna 543XP + Gratisy RATY 0%,3 249 zł,Nowe,Łańcut
20,https://www.olx.pl//d/oferta/pilarka-spalinowa-husqvarna-562-xp-wiertarka-udarowa-1200w-gratis-CID628-IDSJgJA.html,Pilarka spalinowa Husqvarna 562 XP + wiertarka udarowa 1200W GRATIS,4 999 zł,Nowe,Stalowa Wola
21,https://www.olx.pl//d/oferta/gaznik-walbro-anaba-xingteng-pila-pilarka-spalinowa-CID628-IDTGeNK.html,Gaźnik / Walbro / Anaba / Xingteng / piła / pilarka spalinowa,50 złdo negocjacji,Używane,Choszczno
22,https://www.olx.pl//d/oferta/pila-spalinowa-husgvarna-236-o-mocy-1-9-CID628-IDTjmwQ.html,"Piła spalinowa Husgvarna 236  o mocy: 1,9",600 zł,Używane,Czerwieńsk
23,https://www.olx.pl//d/oferta/pila-spalinowa-husqvarna-353-CID628-IDRHPbm.html,Piła spalinowa husqvarna 353,1 200 zł,Używane,Krapkowice
24,https://www.olx.pl//d/oferta/pila-spalinowa-pilarka-husqvarna-444-CID628-IDTGe7C.html,Piła spalinowa pilarka Husqvarna 444,700 złdo negocjacji,Używane,Brzozowiec
25,https://www.olx.pl//d/oferta/pilarka-tarczowa-husqvarna-k760-350mm-idealna-pila-do-betonu-CID628-IDSklso.html,Pilarka tarczowa HUSQVARNA K760 350mm IDEALNA! piła do betonu,2 800 zł,Używane,Zielona Góra
26,https://www.olx.pl//d/oferta/prowadnica-do-pily-husqvarna-38cm-325-2-lancuchy-ogr393-CID628-IDTKI0h.html,Prowadnica do piły husqvarna 38cm 325 + 2 łańcuchy [OGR393],47 zł,Nowe,"Białystok, Dziesięciny II"
27,https://www.olx.pl//d/oferta/prowadnica-3-8-14-050-50-2-lancuchy-do-pilarek-stihl-CID628-IDSMo0P.html,"Prowadnica 3/8, 14 ""050 50 +2 Łańcuchy Do Pilarek STIHL",50 zł,Nowe,Ostrołęka
28,https://www.olx.pl//d/oferta/pila-pilarka-spalinowa-husqvarna-555-CID628-IDSeopr.html,Piła pilarka spalinowa Husqvarna 555,2 300 zł,Używane,"Częstochowa, Śródmieście"
29,https://www.olx.pl//d/oferta/pila-pilarka-spalinowa-husqvarna-340-perfect-CID628-IDHN4yS.html,Piła pilarka spalinowa Husqvarna 340 perfect,1 100 zł,Używane,"Częstochowa, Śródmieście"
30,https://www.olx.pl//d/oferta/pila-pilarka-spalinowa-husqvarna-371-xp-272xp-CID628-IDPfCqZ.html,Piła pilarka spalinowa Husqvarna 371 xp 272xp,2 550 zł,Używane,"Częstochowa, Śródmieście"
31,https://www.olx.pl//d/oferta/pilarka-spalinowa-shindaiwa-451s-raty-5-lat-gwarancji-gratisy-CID628-IDSMaXT.html,Pilarka spalinowa Shindaiwa 451s RATY  5 LAT Gwarancji + Gratisy,2 179 zł,Nowe,Łańcut
32,https://www.olx.pl//d/oferta/pilarka-spalinowa-echo-cs-3510-es-raty-0-gratisy-CID628-IDSM9TD.html,Pilarka spalinowa ECHO CS-3510 ES Raty 0% GRATISY,1 459 zł,Nowe,Łańcut
33,https://www.olx.pl//d/oferta/pila-pilarka-spalinowa-husqvarna-359-CID628-IDFjiCQ.html,Piła pilarka spalinowa Husqvarna 359,2 000 zł,Używane,"Częstochowa, Śródmieście"
34,https://www.olx.pl//d/oferta/pila-pilarka-spalinowa-husqvarna-357-xp-perfect-CID628-IDCJX0t.html,Piła pilarka spalinowa Husqvarna 357 XP Perfect,2 200 zł,Używane,"Częstochowa, Śródmieście"
35,https://www.olx.pl//d/oferta/pila-pilarka-spalinowa-husqvarna-371xp-371-xp-CID628-IDSe14N.html,Piła pilarka spalinowa Husqvarna 371xp 371 xp,2 550 zł,Używane,"Częstochowa, Śródmieście"
36,https://www.olx.pl//d/oferta/pila-przecinarka-spalinowa-do-betonu-husqvarna-k760-100-sprawna-CID628-IDRPgui.html,Piła przecinarka spalinowa do betonu Husqvarna k760 100% sprawna!,1 899 zł,Używane,Rybnik
37,https://www.olx.pl//d/oferta/pila-pilarka-spalinowa-husqvarna-55-idealna-CID628-IDFiInT.html,Piła pilarka spalinowa Husqvarna 55 idealna,1 800 zł,Używane,"Częstochowa, Śródmieście"
38,https://www.olx.pl//d/oferta/pilarka-husqvarna-357xp-CID628-IDTmWBK.html,Pilarka husqvarna 357xp,1 750 zł,Używane,Bobrów
39,https://www.olx.pl//d/oferta/pila-pilarka-spalinowa-husqvarna-350-perfect-CID628-IDCbJeB.html,Piła pilarka spalinowa Husqvarna 350 Perfect,1 400 zł,Używane,"Częstochowa, Śródmieście"
40,https://www.olx.pl//d/oferta/wyprzedaz-pilarka-husqvarna-120i-zestaw-z-akumulatorem-i-ladowarka-CID628-IDRZRSp.html,WYPRZEDAŻ Pilarka Husqvarna 120i ZESTAW z akumulatorem i ładowarką,1 399 zł,Nowe,Poczesna
41,https://www.olx.pl//d/oferta/pila-husqvarna-327p5-motorowa-lancuchowa-na-wysiegniku-niekompletna-CID628-IDPZaQN.html,Piła Husqvarna 327P5 Motorowa Łańcuchowa-NA WYSIĘGNIKU Niekompletna,500 zł,Uszkodzone,Nowy Sącz
